airport,page rank
DEN,149.67603941406682
ANC,146.13004887446957
ORD,128.37593638866153
ATL,99.3410961391603
DFW,97.88570333856453
LAX,92.98311930136613
BET,85.34194642385695
PHX,84.6922952625268
LAS,83.06334208703397
FAI,80.23892086072263
SEA,75.38517415684888
MCO,71.37990727485705
IAH,69.63890655125611
MSP,67.63836502800741
CLT,66.65727522820393
EWR,62.80131697572323
PHL,61.778544239848124
SLC,61.7039181472545
DTW,61.527536906068704
BNA,57.80178413152274
SDF,54.70437011463668
MEM,54.49625244978233
SFO,53.2951616848213
PDX,50.59956121376886
FLL,50.301826242526225
JFK,49.573180032406796
BOS,49.4417985937382
MIA,47.74623471747246
TEB,46.88705257555977
IAD,46.81838309930008
BWI,44.93297673225621
SAN,43.82926262808863
TPA,42.93140519889915
HPN,42.57908771875316
AUS,41.69256725534123
AKN,40.70039887016978
CVG,40.23734024511455
VNY,40.2264836857029
SJC,40.02507635387759
JNU,39.01609696598271
MDW,38.95829522135042
IND,38.68501391797158
OME,36.3742488097679
DCA,34.866221095697
WFB,33.87259820620228
ONT,33.58142910366336
OAK,33.302698882613655
DLG,32.75796750200047
OTZ,32.69875077303407
LGA,31.934790367081064
STL,31.108783375810056
ACK,30.913477723669768
A43,30.288742901798802
SAT,30.025512024810673
MCI,29.856388231768094
SNA,28.60742731340485
FOK,26.66220351423381
CLE,26.36792207158007
DAL,25.854954923594256
PIT,25.530920907336867
RDU,25.471020074772085
HNL,24.868742440867894
HOU,24.593018183836413
ADQ,24.335423658015394
CHS,23.161912049313393
BZN,23.060754880240886
SMF,22.78524935549559
MSY,22.619552741637076
MKE,22.51335806903621
YIP,22.330687104535606
MQY,22.280834552471354
ACY,22.19589780415346
ABQ,22.167008815443864
RNO,22.162538488828243
SBA,22.072220912817507
ANI,21.916319213068558
RSW,21.82041201582611
CMH,21.438965653456915
PBI,21.179606418309813
MYR,20.85633788418351
SIT,20.78409048074123
MVY,20.674570721889044
OKC,20.56082668620993
BRW,20.49104275613402
HTO,20.37080925570132
JAX,20.140218409977216
OMA,20.064841480042386
ELP,19.584072433058928
BDL,19.321926804629214
SJU,18.44466137156825
RIC,18.09704747359686
BUR,18.089833446219014
SFB,17.895321786042643
DUT,17.781446984687022
BOI,17.777862250587404
PGA,17.755819044585763
ILI,17.025616315203006
FYU,16.942404075319146
HOM,16.878949953468272
KEH,16.840380358839568
UNK,16.828921692436253
GEG,16.398657679842646
TUL,16.361044830190746
SCC,16.31002111673302
SAV,16.050833674684984
COS,15.744427390643912
BFI,15.605867934217395
BUF,15.605345270178486
ORF,15.305087059720044
MCG,14.941383689682578
GSP,14.847447797167398
RFD,14.8199503153762
GAL,14.776000328437894
GSO,14.370456669098818
PWM,14.366447681324432
CDB,14.112903822146691
HHR,13.928912140014733
OGG,13.65908945575616
HYA,13.578929262034684
EMK,13.339417058003523
TYS,12.914546477728132
PVD,12.8786602785589
SRQ,12.773085001025642
LIT,12.69456055131313
AZA,12.57259105173447
TUS,12.400324233690066
GRR,12.35170810880637
MRI,12.28306501109325
LKE,12.17729033568193
ALB,12.132113988919059
RCE,11.907439706516303
PIE,11.892951309235443
ICT,11.8055207367831
KOA,11.699676542318924
OPF,11.510367696211675
GST,11.361108950807857
FSD,11.355091244933156
EDA,11.240306172118869
BTT,11.199510190434568
PNS,11.016964685533063
KSM,10.809335444942219
TKF,10.769150887978384
SYR,10.767786286868422
DSM,10.624634650638132
ARC,10.59016763567853
FCA,10.50669911202369
HSL,10.457530818719878
LPS,10.44054482714578
JAC,10.426222028459055
FRG,10.36892190364027
PSP,10.34233611555128
PPC,10.300449342948006
FAT,10.251728038800929
MDT,10.140181832413658
LRD,9.950659378526867
ASE,9.91058255816914
BED,9.905917388690963
VEE,9.888325795383748
VPS,9.734565371770087
KTN,9.678251278446915
ENA,9.613142904058511
KWN,9.555294132115918
BHM,9.510343352975639
AOS,9.501538675894961
LEX,9.47323584912298
OXC,9.461930462963846
ECP,9.457987143702518
LGB,9.453565103052565
KOZ,9.370069591788354
ROC,9.3693322975092
SOV,9.343460368195222
BLD,9.287156531750236
APA,9.22287297814149
RAP,9.21203840914459
TOL,9.12471789480121
PDK,9.11345526782356
KKB,9.086467865135528
CGA,9.04595454421748
MSN,9.003081808517795
ORI,9.001111654949842
RSJ,8.990479641151008
KLN,8.971007359328372
TVC,8.892380919273577
ALZ,8.866399787006072
AFW,8.86180808795099
RDB,8.850784344444579
MMU,8.786586859183048
STS,8.779689751676534
DHB,8.772824933529574
KGX,8.624720968817254
KAL,8.524019064108042
CID,8.479746810610008
GPT,8.437060558410666
EGX,8.379574925407754
TN8,8.368676362967435
CAE,8.361913191246254
SYB,8.35550272020893
MLL,8.300166738912617
RBY,8.230984484170941
ABE,8.175625538835304
KBC,8.102259723456164
ANV,8.025835569893646
KCC,7.960723924333088
FAR,7.941383520194658
RSH,7.925047312992431
UGI,7.873722744446171
MFE,7.812695720690224
BTR,7.773042332343236
DGB,7.703539093297855
BIL,7.6709410065547665
FBS,7.647492574829054
KPY,7.6430011875599435
EEK,7.58259185008156
KPB,7.578999072960563
MTM,7.5747229878729225
KWP,7.565275995087745
KTB,7.556928976849663
PSM,7.455855081292084
SHV,7.442229786802973
TOG,7.43916945041618
PQS,7.336186132053149
WWP,7.2448198285308365
BRO,7.185138668118439
CXF,7.1662003289663465
SPN,7.159631379616725
SBN,7.147562249953033
PGM,7.120125899156096
HNS,7.092442708628941
PIP,7.013494503841922
ESD,6.983515791283078
MAF,6.965920468361569
AKP,6.954716349631533
SKK,6.948204619562089
LEB,6.914706693940613
WTL,6.897531139522627
GJT,6.8827365024693306
BIS,6.800946992436838
BTV,6.788427505590698
ATT,6.785117258422278
KPR,6.773343891221884
OOK,6.767377275749874
NUL,6.74420822532355
KWK,6.730369957692721
BVU,6.703355319399611
GUM,6.699292506379486
CDW,6.665747843856506
HSV,6.6440322781500685
NUP,6.557191003347231
LBB,6.529036274198767
SMK,6.504678243829629
YAK,6.496586162023076
WTK,6.4964237445434465
FRD,6.487865541903574
KPN,6.444837030577283
TYE,6.421892213026896
MSO,6.419465158276954
EDF,6.393077826720601
KEB,6.301264995962483
HCR,6.205649406124532
CYF,6.187609997090656
PPV,6.178012562272018
KKH,6.169795383390301
MOU,6.155912821460542
HYL,6.147393075534015
HUS,6.123608370735452
SLQ,6.097515804920825
KVL,6.0876300738425195
TKJ,6.082581892347455
WBB,6.066490527817564
CPR,6.062375750768059
A03,6.059454522222802
AEX,6.048062226518977
HNH,6.04290809485565
NME,6.026105696455158
SVS,6.023369497271533
KNW,6.010224289584982
IFP,6.008210444647478
PTH,5.99765434614804
SHH,5.996574209104333
AVL,5.993545236715555
KOY,5.973963366556929
ABL,5.931124284966506
SHG,5.903633121658428
TNK,5.888117514908923
SGF,5.8788632605355975
BID,5.867464167499815
KAE,5.825046214278896
SUN,5.794534372401819
IGG,5.757960146736469
BGR,5.744155976858457
SDP,5.7101851241527815
KKI,5.684270032778317
KMY,5.655181555179683
TLT,5.626285949413921
LUK,5.625792941343011
ORV,5.604428021229731
HKB,5.603990061182193
LIH,5.603972393092064
KGK,5.595350244546028
ROP,5.58729018712201
KLG,5.564447179437495
TAL,5.549747739949763
WSX,5.530111038632203
HSH,5.518801940263398
MFR,5.506538576444563
KQA,5.500646976057417
KUK,5.490932093672911
GKN,5.489254755081327
VWW,5.4678429142136755
PWK,5.459237145457236
ISP,5.451386603300836
SBD,5.412867964092022
CPX,5.389757079208705
KTS,5.373737633262534
DRG,5.357043599026721
UXR,5.356393290800974
KOT,5.349640190323136
KKA,5.337754575406451
SKW,5.325089739352464
CZN,5.321682500383847
CRW,5.307035480865791
MXY,5.30580138062244
MYK,5.30580138062244
TIQ,5.300641696079382
GNV,5.2736100625599045
FWA,5.272881658487064
SMO,5.261733521080093
PEC,5.239322860921843
AUK,5.218487725000689
NUI,5.1500064176405
IAN,5.131684979828222
LKK,5.11584290317825
WBQ,5.115785006732465
TEK,5.0925770747525405
KPV,5.068984737760962
KWF,5.049865225448216
WHD,5.049865225448216
DAY,5.031526864215577
AMA,5.019419236479218
GLV,5.002684772145155
PGD,4.9759190380056175
LNK,4.975224780358981
STT,4.922401565526644
WLK,4.916605345759535
SGY,4.915021157644588
WWT,4.913995189465582
LCK,4.9026502293460394
SNP,4.855995661535041
XNA,4.848321075712156
PAE,4.812009617102409
MWL,4.7970351346353475
EUG,4.7907352600510515
GNU,4.789698341620008
EYW,4.766167807279812
AGN,4.764753971126651
CIK,4.764051815575073
NKI,4.705946080795646
CHA,4.6801301116358625
BLI,4.673822755725923
MRY,4.663852763523357
AET,4.629506494813264
ATW,4.607972562056672
KNK,4.604844474788673
BDR,4.575228931454499
SQL,4.561660487680335
GCN,4.544621776854454
WNA,4.518714115891232
SUS,4.516936298991716
ATK,4.512148855045139
AIN,4.487606757032356
TTN,4.417590681212243
DRT,4.388049879579974
PVC,4.3808961738750885
BTI,4.36739979747701
LNY,4.355563816416827
PHO,4.326384585170033
BKC,4.322040229554556
7AK,4.319325515939378
SVA,4.308192044954568
JRV,4.300950891514183
SIG,4.300950891514183
KZB,4.299240095026397
JZT,4.29267562903589
NOT,4.260942300330489
JRA,4.257441164241195
PIA,4.238863127623044
CIB,4.233736967233108
PSG,4.227466225434066
KWT,4.192498764376738
KEK,4.187072619686224
TLH,4.139085116621884
FNT,4.130137894760318
N4Y,4.101164866421554
JAN,4.093199013615243
SRV,4.091807540968346
MTX,4.0629880977489625
KMO,4.043536157940194
IDA,4.040251459553745
KLW,4.035048000708385
TLA,4.024463075247673
SWF,4.003661583198063
OBU,3.9966448180860534
AKK,3.9810326419860806
TKE,3.9793620617039673
EAA,3.9731599620762683
IRC,3.9558133811995604
EXI,3.927374019888943
ELI,3.90577987043538
RMP,3.8967451101730965
A29,3.884295202884274
JLA,3.884295202884274
ONN,3.884295202884274
06A,3.884295202884274
MHT,3.8794692802814637
CPS,3.8789977264588598
WSN,3.8777833728354407
PBK,3.8501769262314443
DSI,3.8475170076780465
NNL,3.8347293194586944
MCN,3.8315953546562196
TSS,3.8085285727055846
1G4,3.8043697299279
CMI,3.8013257159475407
ABI,3.791669234795313
APF,3.7802695768883474
WST,3.75852553045982
KCQ,3.7457956745092402
DWH,3.7332561229860066
CLD,3.7274593995837493
ID1,3.7159276090675797
COE,3.7144242262710465
PSC,3.7096529287832034
MKC,3.699851431804372
AKI,3.694032109739087
GTF,3.6861342314767267
BKE,3.6446823499019665
BVO,3.63105088680507
IKO,3.6221466311077126
KCG,3.6159332468965073
SLK,3.592470677574227
NCN,3.573063066665938
BCT,3.5652546896588517
AGS,3.555827145925526
KLL,3.544014958796708
ENN,3.536858002205125
PDT,3.4977345103875015
KYK,3.4967793998004453
MGM,3.483783721798273
C01,3.4828966407855866
DTR,3.4798297368430755
GBH,3.4443916691105736
SYA,3.440772039115678
STX,3.416997568475584
GAM,3.401745851258406
DRO,3.398643407616737
MMH,3.3668267182640217
VAK,3.3581360740155293
HDN,3.3565249458868025
ILM,3.3245055773373733
PIZ,3.3137980956548256
LGD,3.3043071477499932
QNY,3.303135318543997
CLP,3.284728795984385
RDV,3.275281178310697
CDV,3.2743430080438616
KCL,3.268407679395572
OLH,3.2585036335489446
ROA,3.2466474383592434
RKD,3.2378413083608675
PTK,3.235645786237905
KYU,3.2002990165334184
NUQ,3.1837271716710926
COD,3.1766967230588903
PDB,3.1707650578154114
RDM,3.1383096144991285
GFL,3.1248691574409397
ELV,3.1102712358840194
SCM,3.102938275096373
WMK,3.0737713880664086
DCK,3.0594210088248097
VQS,3.055628566793525
BFF,3.0441170731412788
LAN,3.0355665012803232
MOT,3.0342520059251235
HRL,3.027276574562688
UGS,3.0239797109328155
DPA,3.02195839755045
RBH,3.0150084353170135
EGE,3.0109540108004733
ZXU,3.0036109122881616
BMI,3.001920629358889
SHX,2.995592318034002
MNT,2.9853899092670764
DQS,2.9757137357937187
GLR,2.946702653512321
PKA,2.935046140649677
CHO,2.9330234978009697
BNF,2.928568169159697
UMT,2.9277042019980213
A1K,2.918587337564824
MLY,2.91264822516455
SGU,2.8750301981944113
MLI,2.846622211140891
NLG,2.8400753091801136
NY1,2.8380281556755564
NPT,2.831680504903286
PTA,2.8206577258253205
MVW,2.820464028969776
EVV,2.80350182857112
WAA,2.798924432230411
PTD,2.7547612622623157
NIB,2.7481196891806987
ZXF,2.734215303316864
LMA,2.734215303316864
LFT,2.731013651540972
CKD,2.7160760342546797
TRI,2.7105625813934453
TIK,2.7105569754049474
CKB,2.7000267270947598
APC,2.6887050247985624
TSM,2.6871094289189448
BCE,2.6782714956998883
CKX,2.660916100491325
TVL,2.6521953237973195
YKM,2.645427380606859
ADK,2.623688327907627
ZXH,2.6027380502361805
SXP,2.5932801951355087
BLV,2.589192562025038
HVN,2.580021352088606
MOB,2.572148019273957
NNK,2.556972060571045
HPB,2.5473786187242693
HHH,2.5369758792427803
HYG,2.5250074630235093
QMA,2.5188532651762086
GRB,2.505456094844805
HTS,2.4986237576408272
MLB,2.49344064616578
UBF,2.466194141103119
STG,2.4520192697541345
PUB,2.435795008421922
CMX,2.4303005432940017
COU,2.420811119104217
AKB,2.4148143209380764
PTU,2.4040801524589983
L41,2.397713735793719
CRP,2.3889914448401783
EWB,2.360178588150891
PBG,2.345755167817785
BKW,2.3428305393978817
NHK,2.3292180120010433
MO4,2.326516312130708
MBS,2.325887254261241
CGS,2.3212715814070877
MKK,2.3178792633557945
FRY,2.302908809625746
WCR,2.2962563623710244
EEN,2.283223675884397
2NC,2.2816170581063666
MXE,2.2816170581063666
MTJ,2.27866429660906
GTR,2.262888616622199
TLJ,2.2496115340955383
IN2,2.24167321599064
BHB,2.23493335909026
A52,2.1753090199373295
A72,2.1753090199373295
TKA,2.1753090199373295
SWD,2.1753090199373295
CEM,2.150449560264227
GRI,2.142249683694147
GRK,2.140612442037357
KFP,2.1403896007880174
CAK,2.135617332141858
CTH,2.1303530435968323
SAC,2.1233691581337952
LNI,2.116752632047053
ITO,2.104176817343631
AVP,2.0977971859598368
VIK,2.086165251822294
TWA,2.083370037322914
SCE,2.081245213326449
RIV,2.0746789916375055
LCI,2.0659467240855687
WRG,2.0627971954443227
MYU,2.0482936876646427
TCT,2.0397521997339587
DTN,2.036136614041391
SMX,2.0334493067732096
AZO,2.017034002291342
HOT,2.0025699730333635
RIL,1.9990932218107555
OWD,1.9935149949980904
RDG,1.9935149949980904
ATY,1.990306599278767
BFL,1.9763823415750759
DAB,1.973410216183288
RST,1.9618125731399947
SBP,1.957811518937013
EHR,1.9422224517415383
A76,1.9422224517415383
VZF,1.9422224517415383
CWA,1.9380037673737651
MPB,1.9298689780823965
YUM,1.90593954706243
2NY,1.9029352652110418
AGC,1.8981444543211798
LVK,1.881996161745974
BTM,1.8768322602117395
FLG,1.8554188542111587
HKY,1.8351186781355755
PML,1.8301636924188398
N3C,1.8276921157684631
RLU,1.8228601024108435
A9K,1.8228601024108435
WMO,1.8070591526892348
UAM,1.8065269461077846
LBE,1.8004480840069434
PKB,1.7982957240597437
NAD,1.789036189429307
LEW,1.789036189429307
USA,1.7879601719554847
ACV,1.7724974411435648
MHR,1.7575774566100593
ILN,1.7437453445022504
SAF,1.7097036269813841
CNO,1.6835758760250885
ACT,1.6833407827882652
MQJ,1.6616728687460487
SGR,1.6229019700018104
PVU,1.6224453881646095
SJT,1.6191791508064486
MTH,1.6000784238782193
TMA,1.5951178287111571
HGR,1.5906371213185313
ECG,1.5827199741877491
VDZ,1.5669123073901599
OSU,1.5659434977827393
RHI,1.5592210074301818
FMN,1.5484109091305915
GON,1.5474548731374855
GYY,1.5349656538082774
SVC,1.5041321322247956
UTO,1.4912718619081402
FVQ,1.4860350815063126
GBR,1.483672147121068
PNE,1.47278290977458
LAL,1.470577306619418
PTL,1.4680860568731715
CHU,1.4544848303178635
KVC,1.4238689920409262
IPT,1.4108440684436214
DXR,1.408891533606406
XWA,1.3965404677614746
RKS,1.3937546355916597
KXA,1.3936506697306874
ZNC,1.3922474788102308
SVH,1.3424770629191298
LSE,1.3388926235504408
CSG,1.3287966464794638
TWF,1.3207593666404556
UIN,1.311438375863097
PIH,1.301138875011909
TRM,1.2964804090442121
PRC,1.2936746629531577
ERI,1.2936297051350165
DTO,1.2879909111759544
LNS,1.2643136342880799
DOF,1.253681576299526
GUP,1.2448349729113204
LQK,1.2439460651586483
MI2,1.2426710909909389
ITH,1.240420346277532
ROW,1.232862564257591
SFM,1.2254312780817214
BWG,1.2156122295510827
FAY,1.2117829974203718
ISW,1.2046036833499703
PUL,1.197853411960256
ADS,1.1959585032701499
GCK,1.1924998403182046
FSM,1.190086281735424
LPR,1.1844078891263659
LUP,1.1842207660328665
ELD,1.1829380575640687
HRO,1.1829380575640687
SHR,1.1822382575858772
CEU,1.1819234725266394
PSF,1.1760714041054887
GGG,1.1734763062494409
DLH,1.1719028078747906
FID,1.1688732865326106
LZU,1.168004073855039
ESC,1.1675600808095292
IAG,1.1665923543534196
ELM,1.1614016462836483
CEC,1.1558355323130636
SCK,1.1300057611918695
TXK,1.1242456490172341
SKF,1.1111178372815427
MNZ,1.0912942829898291
09A,1.089206594718584
CNY,1.0820518537881711
MCC,1.065717544038643
PWA,1.0612831390395063
HLN,1.058695073349591
BLM,1.0563368802202855
BKL,1.0556358432933683
CLL,1.0482553034888926
LUR,1.0476785079567181
ORH,1.0468985664180388
NY7,1.0422279404536055
5NY,1.0422279404536055
FME,1.0422279404536055
SDM,1.0422279404536055
IN6,1.0422279404536055
SSI,1.0422279404536055
RNT,1.0416492043203116
YNG,1.0354105218023837
JVL,1.0354105218023837
TEX,1.020874818277731
UKI,1.008714700199478
LWB,1.008081675152549
BQN,1.0041472258136994
BTP,0.9995527758650679
ALO,0.9981141807301709
DLF,0.985986978305397
DGW,0.9844477590580902
SQA,0.9794427063333787
VWM,0.9794427063333787
UXK,0.9794427063333787
DIK,0.975796450846075
BJI,0.9691294966695418
SPI,0.9665884900743522
A20,0.9616250892747606
BBX,0.9514367551432874
MA5,0.9514367551432874
BTL,0.9514367551432874
PRB,0.9486201801318224
OWB,0.9455006768575791
VA4,0.9297848264531129
A18,0.9115049015048229
A27,0.9115049015048229
A6K,0.9115049015048229
JHM,0.9055264169559083
PHF,0.9017831028260768
LAW,0.9010857283697145
DVL,0.8950302405551186
PGV,0.8879160806295342
NPA,0.8828676130054859
VCV,0.8608207858506738
JZI,0.8434982763414303
POU,0.8194932328891382
EHM,0.8182847737511065
2AK,0.8169142801353815
MLU,0.8151140882210385
JMS,0.8101448996205989
VLD,0.8079328785870763
ONH,0.8054365224812591
BPT,0.798633122673384
GFK,0.7884233525329252
T6X,0.7856199457371902
FMY,0.7848031792622655
JLN,0.7845213804196577
EAU,0.7708725753313067
CZF,0.7700309787387887
EAR,0.7581310451831127
TYR,0.7556971294553443
LBF,0.7465376820773821
MOD,0.7420327770938142
VUO,0.7364989080008573
PIR,0.7343028105047089
OGD,0.7224935177514128
SBY,0.7172216210234547
ABY,0.7166962545842249
GGW,0.7158004012126933
RUT,0.7060334641174939
DOV,0.6936971156913304
OCA,0.6869086870682934
RDD,0.6855058448769872
MRK,0.6779674784874871
LCH,0.6729939923345215
EIL,0.6611953794087531
TVI,0.6605161426339696
ISM,0.6605161426339696
FTY,0.656294076666983
AFO,0.6483150548215072
AZ3,0.6483150548215072
SNS,0.6483150548215072
ESN,0.6483150548215072
SHN,0.6483150548215072
OAJ,0.6442285146881593
TVF,0.6430344819398645
OTH,0.6421273173926575
PLN,0.6359225603375614
SPS,0.6349041735770037
WA6,0.6209684967684249
HWD,0.6164294419702828
RBD,0.6078604149181798
1OH,0.6007694678616148
DBQ,0.5960023478850817
WA3,0.5956152421752836
EGV,0.588628419599699
HMS,0.5875201218494797
NHZ,0.5869180159749765
HVR,0.5787272018041405
GDV,0.5787272018041405
SDY,0.5787272018041405
OLF,0.5787272018041405
LMT,0.5767478861965152
LYH,0.5755772534881451
WYS,0.5629061050754885
MSS,0.5614864917034897
MQT,0.5603759125415181
WKV,0.5585343522356996
BEH,0.557774171755988
SBM,0.5527375955767345
BIF,0.5527375955767345
SUX,0.535279477857464
QQG,0.532385092576583
MSV,0.532385092576583
ME3,0.532385092576583
LKP,0.532385092576583
AUZ,0.532385092576583
ME2,0.532385092576583
MTP,0.532385092576583
TIW,0.5315249277922361
DEC,0.5214633444333594
MWA,0.5204846274590087
ABR,0.5097751840579674
TX6,0.5062929265836762
MJX,0.5050971866047745
VWD,0.48628479021554005
LWS,0.4852308189611674
LAR,0.4817745158014261
RME,0.47842757967099087
A26,0.4735459605589833
EAT,0.46840922920727474
CDC,0.46470845597555915
PQI,0.4611372059696697
CGF,0.45906947878684323
1B1,0.44906229213441284
UT1,0.44906229213441284
PCT,0.44906229213441284
SWO,0.43769513173463254
ARA,0.43330955830152357
TMB,0.43070466991977696
RWI,0.43070466991977696
WWA,0.4269410616819688
KKU,0.4269410616819688
BKG,0.42516116265713577
EWN,0.4226531229150041
GCC,0.4204274335749701
SMN,0.41886219074198033
PPG,0.41773699393702163
SLN,0.4131225679341354
1AK,0.40921723717495445
CCR,0.40140664519669794
IMT,0.3990638894267706
CNM,0.39093787572203303
FNL,0.390064726784131
MHK,0.38023443928146483
GLH,0.3797450807942895
CEZ,0.3776728926843909
CIU,0.3622108402870505
BRL,0.3601513213186119
ILG,0.35721481666479343
GUC,0.35623624765683526
MSL,0.35393640497471496
APN,0.35174911235791617
CLU,0.3464273797542966
MHM,0.34623606764338244
FWL,0.34623606764338244
VZY,0.34623606764338244
SHD,0.34049513920645874
JST,0.34049513920645874
IWD,0.33696339531921593
CEF,0.33664445703720935
FTW,0.3335597810782964
HII,0.3301846227116461
NYL,0.3301846227116461
OTS,0.3296593821023256
LBL,0.325693828314038
MCE,0.3243644522984673
INT,0.3241797672142711
BJC,0.32292325508277686
TBN,0.32249841834519405
TUP,0.32179502985394653
MWH,0.3206077395781717
MKL,0.3198634897226474
N1Y,0.3195317516913092
MCK,0.3183832426899941
MGW,0.31302657974359466
BFD,0.31302657974359466
DUJ,0.31302657974359466
STC,0.30936085520066714
RBN,0.30228117240505925
HNM,0.3001282796932195
MUE,0.3001282796932195
TNC,0.28751656874906506
VRB,0.28210379047676065
RBG,0.2759023269614957
FLO,0.2665601361379711
TCL,0.262865523642894
TPL,0.2503979621924981
ONP,0.24723820469299193
CLM,0.2364347259430948
OGS,0.23559192283802544
DJN,0.2338302939575394
MA4,0.22324767835357653
BFM,0.21994275683150846
AOO,0.2191604504286644
GED,0.21543627162028298
AIA,0.2126554316279691
CDR,0.2126554316279691
DDC,0.2126554316279691
RIW,0.2126554316279691
VEL,0.2126554316279691
ALS,0.2126554316279691
HYS,0.2126554316279691
CVN,0.2126554316279691
CDL,0.2013356723840236
IRK,0.19883929820386453
JBR,0.19883929820386453
FOD,0.19867852922428617
MCW,0.1963402767492553
BGM,0.1953988138738465
MZJ,0.1920219693954525
IPL,0.1899592890159807
HIB,0.17565137220446853
INL,0.17565137220446853
HYR,0.17565137220446853
BRD,0.17565137220446853
ART,0.17425871423878847
VIS,0.17036997875234697
SOW,0.16516716165522427
DMN,0.16516716165522427
GYR,0.1638020586210963
PYM,0.1625254434951674
MKG,0.16146172371354983
MBL,0.16146172371354983
PAH,0.16146172371354983
CGI,0.16146172371354983
CYS,0.16097236522637448
ZXC,0.15860000109455058
XXY,0.15860000109455058
GA5,0.15734216349908878
OSH,0.15416304876539313
WRI,0.15228858059542263
SUU,0.1516074920566494
FDY,0.1516074920566494
IYK,0.14749103739290537
FWH,0.14609549848026834
MEI,0.14373051662766861
PIB,0.14373051662766861
VCT,0.14373051662766861
HOB,0.14373051662766861
DHN,0.14292607449942235
GDC,0.13801779056194158
EKO,0.1351138030248413
STP,0.13345953927450818
DQG,0.13345953927450818
BIH,0.1284142567436775
MAZ,0.12597967067554317
BQK,0.12117389211758531
AND,0.12117389211758531
MEO,0.12111838717434693
ALW,0.1182922132709486
PUW,0.1182922132709486
NY8,0.11494196001652908
AUG,0.11494196001652908
SUA,0.11404877638053737
FXE,0.1104618033235223
SCF,0.10498709103532067
LEE,0.10359908180159952
IAB,0.09264915189459184
SAA,0.09134139143405182
FHB,0.09108577999788692
IKB,0.09108577999788692
NGU,0.0869362781206638
KS3,0.08641666611026072
MEV,0.08641666611026072
VSF,0.08641578904550248
MT3,0.08410820511928355
CXO,0.0834071806348481
OUN,0.0834071806348481
BWD,0.08126452917426341
VQQ,0.07979823077096589
SLE,0.07798405090082697
PSE,0.07540435016302123
NCO,0.07474437416841921
MPV,0.056964867842072275
MS3,0.05268609115087012
CVO,0.052632018571552544
ASN,0.05082058985429916
ERV,0.049319928632323165
GUF,0.04344326674132292
FL1,0.03695129809223029
HIK,0.02363930418384011
